Sa [cm/s^2],EDP [cm]
282.9588133,2.67654048
521.9697798,6.621557097
75.51127887,1.377203735
329.8347649,9.079865485
255.1614067,4.151639246
118.3434522,2.564157257
178.8410177,3.480083468
258.0535061,3.986092822
1189.970154,7.784609514
812.0374294,16.18954971
116.0077712,2.516522798
920.5369216,8.432022421
309.1988916,4.413768148
213.0510588,5.382128307
307.6456179,4.853125248
199.2371335,3.559767459
206.9908023,3.204088023
443.6438921,4.108019049
427.0574269,4.930143031
428.7063301,4.747722131
301.4246479,4.679515088
124.079713,2.507716391
308.0085284,4.452870578
474.0958364,7.709764261
276.5140826,3.945178715
357.8402984,5.528676467
309.4152681,3.744290284
190.1813541,2.551537036
252.1784505,3.741209621
151.3235914,3.442021962
333.9458089,5.203382129
127.6719324,2.655765517
132.4763253,2.104190011
149.7438511,2.313632925
54.62516442,1.537588846
433.0186874,6.705590469
255.937046,2.898434785
153.6541301,1.912287114
419.3141403,7.588306784
97.79078858,2.011808528
209.1434532,3.379168482
195.8331121,3.701562163
255.2146276,3.959596379
254.4504516,4.290524987
145.8771972,3.057423747
216.3986056,2.380672804
203.0459048,3.45992955
295.2535803,4.481705443
367.8794814,5.892691499
370.671818,5.776622649
145.9617803,1.968172352
227.6616875,3.875375692
123.6917106,1.85796381
129.7126302,2.271181268
218.7834146,3.73947502
452.7331033,7.899319841
152.5881425,3.156427882
261.5825599,4.438839895
197.3060413,2.339410248
372.0898145,5.509977408
131.2186182,3.394472975
222.8942124,2.138686103
284.9520363,4.967832648
369.1580276,2.82467253
455.216757,5.731858181
228.5854195,4.162931264
108.496644,1.408007595
154.5733398,3.43751512
132.9332345,2.669163243
666.2256647,10.47058192
164.1071047,3.346931557
312.5282333,4.204673277
200.4215625,3.7132247
333.9796942,4.924316071
152.9357224,1.724208031
113.1724681,2.458475314
112.1026291,2.441202167
276.422682,4.812110981
201.8508687,3.53332562
200.0777153,3.307751514
429.1354132,2.972934334
251.9061494,6.008657851
240.9910717,3.076767871
464.6647636,5.227390401
150.1002709,3.429738759
305.023769,4.004629655
325.6415743,3.756706677
195.6234076,3.957419122
