Sa [cm/s^2],EDP [cm]
335.0586982,4.130409811
408.5565121,9.829920115
128.0536166,2.522692119
417.6421108,5.668926611
257.5035855,4.103851552
119.015855,1.947097814
166.3151484,3.555508163
232.0511331,2.659415067
495.2062717,4.751001072
516.2281921,5.320642432
136.5783,2.090323981
535.884115,4.609302247
494.3313562,7.070669857
215.7234865,3.647201519
326.8027712,4.636333241
132.2879493,2.201815809
199.951463,3.365423857
420.6329078,4.593334959
322.4296019,4.56399349
500.466153,5.06951317
265.2517157,5.59533147
93.66466288,1.75331129
357.5046201,4.833131122
447.1177156,6.153553801
273.3027772,4.034756304
305.3737066,4.266279575
298.8070108,4.201981419
192.888538,3.542027731
265.1622947,4.447157604
140.1619815,2.17573244
283.5211905,3.431093973
91.40326465,1.599932801
165.9464437,2.83210459
99.10918684,1.726926848
118.8824146,2.191915131
340.3523844,8.678460579
279.2299231,5.538177657
175.3084743,3.163969552
477.8676161,7.182439301
92.94403564,1.757939762
204.0772549,3.607504472
190.3656702,3.665597446
309.0174729,4.634189893
324.0318055,5.439173798
144.1918327,2.37809649
216.8479947,3.396101357
205.755017,2.665635769
262.0780892,4.039338014
284.8178766,3.769805793
303.9720312,4.636207336
165.736184,2.586054937
273.6519346,5.765279368
265.0331365,5.112553589
137.9096595,2.174176112
125.7005808,2.412560949
219.0676647,3.329776977
501.151376,4.380697926
180.724776,3.294097412
243.0004013,6.541895295
153.3311832,2.958850182
302.4209027,5.250144076
160.8119127,2.671948642
221.046185,3.429662748
280.8388294,4.445260037
392.6748289,5.073605339
499.9217341,8.397343358
232.1435703,2.674353438
131.3764058,2.424817447
134.3292666,2.28593355
161.3822808,2.66281543
351.5932851,5.885816514
160.6195895,3.383424296
334.7990096,7.46848836
158.0654374,4.993024839
439.6032843,4.088879469
182.9621115,2.764009949
146.6395469,3.456009076
159.8620292,2.434086419
252.3259086,4.687160846
212.6538808,5.017926903
183.3532087,2.786295174
345.0178916,7.486907808
242.9993236,2.935605103
232.8391576,3.677231218
422.523541,4.799411273
168.0308796,4.367088767
305.1247043,6.495938802
303.5357106,6.073819421
190.1032902,4.083336278
237.9391549,4.732635656
111.5139132,2.151095768
102.7059279,1.794311621
227.6526287,4.381476115
315.6897116,5.57581706
447.1464204,5.054120908
128.8981822,2.203403272
238.2258485,5.587707752
211.6720418,2.795994607
75.46032573,1.431020348
179.9650279,2.827378366
137.7958389,2.655330454
323.5394175,4.270403952
173.9404731,2.613257535
227.0413615,4.065675933
138.7117561,2.189778062
247.9975707,5.038183058
162.6707627,3.365306207
264.687289,3.997518647
277.1327754,4.058685526
301.024418,3.006464105
206.9762565,3.530223172
114.3791068,2.586995282
154.5793016,2.888923225
417.5940033,5.040059801
135.1681111,2.433780743
341.8250597,6.505484391
229.7033056,3.221484399
772.443445,6.517335523
112.363723,2.197341618
205.0407685,3.797222602
121.9275508,2.054691112
507.2072461,5.37649565
64.21184547,1.208237202
313.5692561,3.657381288
336.5969988,4.921194004
372.5974279,4.606657678
114.5943207,2.039890431
194.6836034,3.840751944
161.9398592,2.724762575
326.6858369,5.165701322
202.2898957,2.912161056
414.2847136,8.495336925
142.9123306,2.333123041
162.8665911,2.741723797
133.2993254,2.436432343
130.6563808,2.455011465
373.0922406,4.381482464
241.3700848,4.096839244
232.8771157,9.279423175
133.1382158,2.464076949
360.3558074,3.928085409
254.213074,3.176602819
183.188155,3.147804116
222.9637485,3.702853846
195.1660721,3.333083544
111.5553662,1.865778465
157.2043607,2.641958492
126.9811934,2.506695326
143.4382442,2.683580716
157.2130506,2.680426865
198.868174,4.381781847
100.7591937,1.670899637
405.0792071,4.530223296
466.5527489,9.616376484
217.1306268,3.075071108
216.7165872,3.529723457
180.1039455,2.911209907
402.1571696,4.011113068
187.4690863,2.905155266
123.339324,2.152632194
316.2361437,4.429840759
192.2989625,3.571235018
157.6281981,2.559983726
195.6678936,4.8619738
118.6606708,2.03396105
129.4915642,2.111136932
461.2801924,6.094783347
491.7170094,7.494277035
240.0638956,3.94221644
105.2140867,2.48318332
155.9747561,2.674653921
183.7032085,2.975417736
338.9567871,4.454205632
79.13727566,1.629748918
97.55505752,1.683090645
139.5886023,2.396112487
263.0142401,3.794950377
293.9070195,4.185917289
262.5560089,4.189977184
207.0706444,8.880439506
232.0863781,5.430810067
170.4749618,2.995732624
299.4921538,5.120396156
144.7190557,2.235221117
276.2316966,4.748252681
143.3371591,2.892656141
187.2902261,3.184383203
255.3429698,4.059743211
316.2237084,3.840956631
113.4256156,2.083795628
439.7911571,12.5554383
313.9660247,5.611950196
216.0857017,3.576595847
203.3724049,3.702700301
206.0496709,3.645555072
172.8090077,3.253478398
221.7151553,4.014179902
222.3102061,3.781056344
336.7919651,8.31331067
323.8333445,5.437234935
261.4153478,4.700771174
189.6704887,3.520841907
333.2114629,7.060461573
228.2017114,3.674568167
183.1355779,3.408229574
455.697437,5.945507115
378.7551179,5.04828229
232.9594374,3.827186242
254.3458004,4.728124982
243.5245106,3.60190075
149.4060243,3.504251
171.6217212,4.251654791
212.0576247,3.33446692
154.9433735,2.593349245
354.0792803,13.19029487
146.1812197,2.781701484
153.8417441,2.941954889
140.0372486,2.53718542
154.262659,2.973531005
203.3333955,3.413317216
173.9142568,3.431110774
430.9367725,4.36649427
201.9967093,3.473767587
143.6695487,2.663215329
407.5149217,4.785678541
577.6841506,6.210958462
204.107973,3.34491574
123.3136382,2.350161409
161.5136917,2.95033395
196.8168787,5.677991381
245.8603566,6.23562694
162.4918403,2.883265444
248.2592504,3.291418698
285.5466657,4.449586333
152.8304216,2.446649444
125.2274547,3.128222467
170.5576599,2.97077674
175.6987324,3.630217266
200.53268,3.639356478
221.5444439,3.711578072
114.9707075,1.86808111
162.5555661,3.781041761
327.2086378,5.529487044
89.78290389,1.542127805
438.9768869,5.42011536
293.3221929,6.643386682
216.5514155,3.745270602
241.0264337,4.143574646
156.5747477,2.687977804
209.0356113,3.146562868
510.7075785,5.027593196
232.0301618,3.574649883
225.0575284,3.866344978
155.2095781,2.747510722
216.6255025,3.565871228
254.8477788,6.024437889
273.4471603,4.074142149
193.6688462,3.515212674
187.0443869,3.005069511
637.3188644,5.156215431
94.78746969,1.680219098
387.1271668,7.111968133
417.5308828,5.862070492
324.5634024,5.389104858
119.3971063,2.011896873
162.4115923,2.48157234
179.5540442,3.250337697
273.6610675,8.680699814
130.7932933,2.084910844
289.5607811,3.937697194
121.9617097,1.794197709
264.5782498,5.637554929
217.9834123,3.680385013
315.6316772,4.907897967
287.0642128,6.852860184
406.2025069,5.361722888
392.6939347,5.755926439
179.2762489,3.314677285
280.7128121,3.522398725
146.942942,2.577208492
90.61274332,1.644300111
299.2201023,6.478255637
219.4982637,3.92312534
214.3336392,3.084401883
407.3344542,6.095323345
250.4097341,3.540287374
252.8328278,4.029389431
365.2046129,5.535616006
329.713343,7.170222991
240.502317,4.396278778
143.1870076,2.721351838
157.2081492,2.448660347
388.4020585,5.658104973
89.43292375,1.770643766
216.8831841,3.091781515
139.3102962,2.52591204
571.8879282,4.280137832
286.1318085,4.449802544
219.6150407,4.134493049
212.0991756,3.024471315
105.1468059,2.01188777
274.4743434,4.904898898
97.25507687,1.92379579
109.8623331,2.009709968
225.1947448,3.686509091
118.7509614,2.174531304
337.1056022,5.167888789
336.7434966,3.89758265
290.0552993,5.133283634
134.485166,2.841954866
266.5731233,4.366167087
224.3805936,3.986357249
545.2941951,6.435837415
262.9726968,3.796164093
326.8304272,5.723961817
207.7816033,3.088386272
202.5276869,3.93163646
341.5093617,4.36505291
114.2556233,1.906215944
129.8336879,2.416201835
140.7343675,2.334452687
192.5829643,2.924597245
345.3745104,5.733538518
328.5172008,4.399686193
105.5025807,1.81780499
194.5586623,3.954342543
226.5951799,3.679898961
198.755654,2.896248175
265.6331472,3.749927615
256.0942582,4.000477876
169.4644467,3.440920745
202.347606,3.597627678
79.21787744,1.408750512
604.8916359,5.541669462
139.1112754,2.776480348
121.7907399,2.427384365
188.2118737,3.182912083
147.0199428,2.432366705
216.8282803,3.77323501
180.5169789,2.80007535
481.0070287,8.117367767
426.709385,4.788529131
102.1383758,1.730119426
296.5183204,3.295710433
164.1166801,2.715314123
200.2109231,3.498926568
232.3250778,4.802705569
462.5783446,7.511348729
198.9830008,2.644930492
597.8784087,5.587051931
171.6702727,2.964339713
281.6115052,4.530616364
268.9052868,3.262318402
229.9176628,4.110772142
280.4692909,4.811463928
268.9713265,4.014255616
141.9597957,2.454754202
128.3517799,2.082187895
956.041955,5.382937175
140.1448873,2.636647332
91.86385616,1.495234263
236.0562143,3.595922216
384.0569612,13.48256227
269.8993404,4.342667057
145.0923086,2.319705377
187.3915846,3.938365132
209.5031217,2.773331266
588.769745,4.500127957
136.2543446,2.266967748
362.2153319,6.570210464
261.5633932,6.111686417
189.1201767,2.960359196
145.215958,2.65749837
201.5223194,4.037470845
214.8678476,5.394212238
126.18112,2.481314586
244.253649,3.909764271
153.9060173,3.279154911
191.0881309,3.215298549
242.3299188,3.45948508
160.0332352,2.647115441
169.1045871,3.100715777
252.6527451,6.392246013
163.2144264,3.601585283
340.9234636,5.585538752
595.2960413,9.990366282
293.287784,4.508683733
181.5381133,2.560305874
242.6478576,3.714457003
122.2763372,1.880429017
409.1512359,7.833115443
382.0463735,5.294262608
336.8718829,3.893756136
162.1421184,2.523791457
245.698686,3.65386211
85.15463227,1.493055085
200.7969974,4.209566769
174.2901119,3.312706427
137.6107299,2.338886643
142.1227299,2.429176506
200.2230212,3.553474293
117.9269181,2.112416962
246.9509676,3.835970455
212.0578533,4.442576819
279.6524953,4.046323444
281.148246,7.160907202
259.5094037,4.094269858
92.45550196,1.727733706
108.8482033,1.87304657
175.8896827,2.453661426
227.6706704,5.702310293
264.8116315,4.475941295
196.553539,3.602002758
338.216012,5.592519301
288.3979297,5.578068879
528.7742661,11.53343892
227.797694,4.339775359
177.1789839,3.575481609
121.6062837,2.862025453
250.74673,4.918605444
315.5064251,3.99099774
200.3600964,3.22668358
116.7876929,1.806061903
163.4944444,3.011061358
135.5141215,2.908804618
166.9015587,3.115772442
204.4052973,3.881557601
226.6669701,3.324988041
208.6813813,3.375656688
378.2571454,5.786731005
224.2362647,3.741867965
464.277037,7.783446861
259.2407898,5.372663422
495.6909865,5.287159192
157.3932638,2.714003186
272.3642479,4.991909416
168.7836315,3.007707834
270.8283979,3.640297654
279.347387,3.137807313
108.531597,1.799905057
160.7397767,2.588870108
153.3864284,2.642433608
269.4279482,4.541919553
354.137639,11.51137196
181.6745427,3.387563224
316.3713092,9.711467989
272.0816462,3.349881178
68.27377221,1.292794485
248.0548282,6.88806472
191.5967381,3.04536702
420.9620778,9.467212687
52.00831462,1.049930359
209.9330329,3.173753121
200.5767636,3.796610524
209.5505956,3.138301607
311.2459091,3.815766583
176.5573431,2.885229674
318.5232123,4.599991501
212.1668645,3.480448333
93.69340607,1.642707146
141.3777871,2.378088735
289.7769992,5.446379381
212.7036382,5.239790209
135.2610761,2.127921882
180.8968657,2.912593
249.6478556,4.395717021
145.4228938,2.815599183
296.763123,5.887481109
157.9044634,2.790809721
422.825713,3.768360862
164.1030962,2.996116885
309.0094966,6.582110348
144.644966,2.213682532
168.4181574,2.807789492
116.8855346,1.987104467
240.3537821,3.926348841
274.9810389,4.09185189
231.9713543,6.514438945
200.9106504,2.966950249
261.4566718,3.764354923
262.5131433,6.078813545
273.4043089,4.838379801
258.6142212,4.099923
467.3197347,5.346714579
149.6997407,2.717021328
284.7852406,5.432875887
156.3225471,2.915541272
125.8195062,2.662681061
249.6216971,3.158939905
206.8765196,3.436671457
209.0049224,2.580418843
267.3790589,5.015213988
311.3068538,6.105101006
183.0167726,3.220875102
267.4014632,3.114871808
198.6014954,2.482194607
352.4260301,11.26035125
346.3750718,4.355057142
161.1301194,3.136571032
251.5216152,3.941326763
242.1138261,4.002158536
230.3593904,3.223947909
373.6320774,6.816562454
163.0963393,2.797875233
175.5350285,2.855599643
125.7653089,2.165131433
457.1846491,5.788273332
261.8248696,4.207385782
214.217052,3.995101896
259.7668824,4.783633891
231.452969,2.68675478
262.4109343,3.39532833
231.2241514,3.845202749
289.4871474,5.738784807
225.4206459,4.600702415
713.351085,6.754944906
152.0840968,2.568281054
121.6594458,2.405669817
122.875142,2.072463711
106.7823344,1.731307869
195.8273029,3.686174153
206.4411477,3.997467673
186.6644181,3.976996545
308.0642319,5.972623965
256.0696393,6.76813773
312.131038,5.073821291
445.2580604,9.975322483
544.3334909,11.30970842
145.4941422,2.561227601
131.4464899,2.552484415
279.7722756,6.54637468
117.7910617,2.396810387
226.1998805,3.767127172
227.5301009,4.430857325
366.5245751,8.706895814
215.5900175,4.34228423
193.1801097,4.390797948
270.6949772,4.352571829
297.9888273,6.265744984
224.7686266,7.494499272
182.4323104,3.02011903
134.5210961,2.191425392
243.2433268,5.055223364
162.4761883,2.891965671
98.26919254,2.039358209
304.0846364,4.848213284
157.8891476,2.57440069
204.973078,3.774225328
276.6080343,6.704207746
185.121778,3.317039801
295.8672374,4.333301952
193.4770388,3.310617977
275.0002401,4.315628577
282.7463861,3.555793331
204.9493128,3.63134338
82.8480425,1.629129024
178.5073325,3.132938603
200.5671999,3.197778073
164.3869266,3.387685547
146.754149,2.79920795
339.2802546,6.437305784
201.9272496,3.589103702
389.610067,5.789149585
192.6410651,3.092187955
310.7406106,5.096140455
193.9720895,6.31798663
331.4372944,5.10000169
304.1503658,5.511657648
189.3846101,3.23454002
151.4361132,2.837800745
321.4761795,4.236372356
475.869776,4.967630827
177.7416194,2.653574311
270.6360021,5.090210798
204.0529549,4.239986521
346.7573987,6.611298075
310.6151922,5.876139251
139.1336217,2.195947385
367.184118,5.508053129
657.1986012,8.250316455
223.2740737,4.675468916
386.2938197,5.133900151
243.8146679,3.68893909
135.8097802,2.172807529
147.4546394,2.71233448
196.3946716,3.43497765
301.2716574,3.052149673
341.6786651,4.97714437
321.2420916,4.87565655
175.6396746,3.3751584
228.5378048,4.737866061
116.4925612,2.110319784
123.4938128,2.019628715
130.7196904,2.353993516
273.2729195,5.206609265
218.2424953,3.607688613
144.9098924,2.362986849
218.1982569,3.377139104
133.868077,3.321478212
103.1570223,1.849790064
358.6529078,7.041963864
235.8752106,4.183820189
440.1342791,7.53431075
279.9238862,7.683365026
242.2726111,4.405506132
335.4583831,5.645035155
381.4718229,6.116759651
646.6510103,4.173260652
46.65424924,0.959305598
369.939156,7.965654091
251.244223,4.694981174
658.1013969,5.383450253
226.8115723,3.601210469
214.2323324,2.983622147
